title,company,location,link
"Бизнес-аналитик (Внедрение CRM Битрикс24, Удаленно)",INVO Group,Москва,https://hh.ru/vacancy/40059899?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (мобильное приложение),Loyalty Labs,Санкт-Петербург,https://hh.ru/vacancy/42104698?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,"Mail.Ru Group, Другое",Москва,https://hh.ru/vacancy/42207715?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Младший бизнес-аналитик (стажёр),Ozon Информационные технологии,"Москва, Савеловская и еще 3 ",https://hh.ru/vacancy/42206233?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик 1С (стажер),Райт Скан,Москва,https://hh.ru/vacancy/42044367?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес аналитик / Junior (внедрение Amocrm),Nikolaev.group,Санкт-Петербург,https://hh.ru/vacancy/42040415?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Hunt For You,Москва,https://hh.ru/vacancy/42219200?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий аналитик по бизнес-процессам,inDriver,Москва,https://hh.ru/vacancy/42043677?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,ООО МСН Телеком,"Москва, Коломенская",https://hh.ru/vacancy/41440655?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Системный/бизнес аналитик (информационная безопасность),ITD Group (International IT-Distribution Group),"Москва, Павелецкая и еще 1 ",https://hh.ru/vacancy/41933358?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов/Бизнес-аналитик,DM компания / Leadfactor,"Минск, Московская",https://hh.ru/vacancy/42202219?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО ПРОФИТКЛИКС,Краснодар,https://hh.ru/vacancy/42192532?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
